TimeStamp,Time,Sdur,Sdur_accum_der,Sb
UTC,hhmm,sec,h,W/m^2
20140928,1000,3600,3.1,9999.9
20140928,1100,3600,4.1,9999.9
20140928,1200,3381,5.1,9999.9
20140928,1300,3359,6.0,9999.9
20140928,1400,2600,6.7,9999.9
20140928,1500,2776,7.5,9999.9
20140928,1600,142,7.5,9999.9
20140928,1700,0,7.5,9999.9
20140928,1800,0,7.5,9999.9
20140928,1900,0,7.5,9999.9
20140928,2000,0,7.5,9999.9
20140928,2100,0,7.5,9999.9
20140928,2200,0,7.5,9999.9
20140928,2300,0,7.5,9999.9
20140928,2400,0,7.5,9999.9
20140929,0100,0,0.0,9999.9
20140929,0200,0,0.0,9999.9
20140929,0300,0,0.0,9999.9
20140929,0400,0,0.0,9999.9
20140929,0500,0,0.0,9999.9
20140929,0600,0,0.0,9999.9
20140929,0700,0,0.0,9999.9
20140929,0800,0,0.0,9999.9
20140929,0900,0,0.0,9999.9
20140929,1000,0,0.0,9999.9
20140929,1100,0,0.0,9999.9
20140929,1200,0,0.0,9999.9
20140929,1300,328,0.1,9999.9
20140929,1400,0,0.1,9999.9
20140929,1500,0,0.1,9999.9
20140929,1600,0,0.1,9999.9
20140929,1700,984,0.4,9999.9
20140929,1800,0,0.4,9999.9
20140929,1900,0,0.4,9999.9
20140929,2000,0,0.4,9999.9
20140929,2100,0,0.4,9999.9
20140929,2200,0,0.4,9999.9
20140929,2300,0,0.4,9999.9
20140929,2400,0,0.4,9999.9
20140930,0100,0,0.0,9999.9
20140930,0200,0,0.0,9999.9
20140930,0300,0,0.0,9999.9
20140930,0400,0,0.0,9999.9
20140930,0500,0,0.0,9999.9
20140930,0600,0,0.0,9999.9
20140930,0700,0,0.0,9999.9
20140930,0800,1160,0.3,9999.9
20140930,0900,3600,1.3,9999.9
20140930,1000,3506,2.3,9999.9
20140930,1100,2926,3.1,9999.9
20140930,1200,3246,4.0,9999.9
20140930,1300,3133,4.9,9999.9
20140930,1400,3203,5.8,9999.9
20140930,1500,3109,6.6,9999.9
20140930,1600,2560,7.3,9999.9
20140930,1700,2222,8.0,9999.9
20140930,1800,738,8.2,9999.9
20140930,1900,0,8.2,9999.9
20140930,2000,0,8.2,9999.9
20140930,2100,0,8.2,9999.9
20140930,2200,0,8.2,9999.9
20140930,2300,0,8.2,9999.9
20140930,2400,0,8.2,9999.9
20141001,0100,0,0.0,9999.9
20141001,0200,0,0.0,9999.9
20141001,0300,0,0.0,9999.9
20141001,0400,0,0.0,9999.9
20141001,0500,0,0.0,9999.9
20141001,0600,0,0.0,9999.9
20141001,0700,0,0.0,9999.9
20141001,0800,0,0.0,9999.9
20141001,0900,3172,0.9,9999.9
20141001,1000,3547,1.9,9999.9
20141001,1100,3296,2.8,9999.9
20141001,1200,684,3.0,9999.9
20141001,1300,724,3.2,9999.9
20141001,1400,766,3.4,9999.9
20141001,1500,126,3.4,9999.9
20141001,1600,31,3.4,9999.9
20141001,1700,0,3.4,9999.9
20141001,1800,0,3.4,9999.9
20141001,1900,0,3.4,9999.9
20141001,2000,0,3.4,9999.9
20141001,2100,0,3.4,9999.9
20141001,2200,0,3.4,9999.9
20141001,2300,0,3.4,9999.9
20141001,2400,0,3.4,9999.9
20141002,0100,0,0.0,9999.9
20141002,0200,0,0.0,9999.9
20141002,0300,0,0.0,9999.9
20141002,0400,0,0.0,9999.9
